Localisation,Année,Âge,Sexe,Cause du décès ou des blessures,Attribuable à,Mesurer,Valeur
Global,2021,Tout age,Les deux,Toutes causes,Charge attribuable aux facteurs de risque de GBD,Pourcentage du total des Décès ,0.5022262161659196
Global,2021,Tout age,Les deux,Toutes causes,Charge attribuable aux facteurs de risque de GBD,Décès ,34086634.000466734
Global,2021,Tout age,Les deux,Toutes causes,Charge non imputable aux facteurs de risque de GBD,Pourcentage du total des Décès ,0.49777378383408044
Global,2021,Tout age,Les deux,Toutes causes,Charge non imputable aux facteurs de risque de GBD,Décès ,33784442.62450498
Global,2021,Tout age,Les deux,Toutes causes,Métaboliques,Pourcentage de Décès  attribuables à des facteurs de risque de GBD,0.22727009527971645
Global,2021,Tout age,Les deux,Toutes causes,Métaboliques,Pourcentage du total des Décès ,0.114141
Global,2021,Tout age,Les deux,Toutes causes,Métaboliques,Décès ,7746872.557050897
Global,2021,Tout age,Les deux,Toutes causes,Environnementaux,Pourcentage de Décès  attribuables à des facteurs de risque de GBD,0.12647886142808337
Global,2021,Tout age,Les deux,Toutes causes,Environnementaux,Pourcentage du total des Décès ,0.063521
Global,2021,Tout age,Les deux,Toutes causes,Environnementaux,Décès ,4311238.658294828
Global,2021,Tout age,Les deux,Toutes causes,Comportementaux,Pourcentage de Décès  attribuables à des facteurs de risque de GBD,0.2440633245627009
Global,2021,Tout age,Les deux,Toutes causes,Comportementaux,Pourcentage du total des Décès ,0.122575
Global,2021,Tout age,Les deux,Toutes causes,Comportementaux,Décès ,8319297.217305909
Global,2021,Tout age,Les deux,Toutes causes,Environnementaux ∩ Métaboliques,Pourcentage de Décès  attribuables à des facteurs de risque de GBD,0.08547940871692229
Global,2021,Tout age,Les deux,Toutes causes,Environnementaux ∩ Métaboliques,Pourcentage du total des Décès ,0.04293
Global,2021,Tout age,Les deux,Toutes causes,Environnementaux ∩ Métaboliques,Décès ,2913705.319510036
Global,2021,Tout age,Les deux,Toutes causes,Comportementaux ∩ Métaboliques,Pourcentage de Décès  attribuables à des facteurs de risque de GBD,0.15254480458003378
Global,2021,Tout age,Les deux,Toutes causes,Comportementaux ∩ Métaboliques,Pourcentage du total des Décès ,0.076612
Global,2021,Tout age,Les deux,Toutes causes,Comportementaux ∩ Métaboliques,Décès ,5199738.922392333
Global,2021,Tout age,Les deux,Toutes causes,Comportementaux ∩ Environnementaux,Pourcentage de Décès  attribuables à des facteurs de risque de GBD,0.0847884850079828
Global,2021,Tout age,Les deux,Toutes causes,Comportementaux ∩ Environnementaux,Pourcentage du total des Décès ,0.042583
Global,2021,Tout age,Les deux,Toutes causes,Comportementaux ∩ Environnementaux,Décès ,2890154.055921171
Global,2021,Tout age,Les deux,Toutes causes,Comportementaux ∩ Environnementaux ∩ Métaboliques,Pourcentage de Décès  attribuables à des facteurs de risque de GBD,0.07923122831734851
Global,2021,Tout age,Les deux,Toutes causes,Comportementaux ∩ Environnementaux ∩ Métaboliques,Pourcentage du total des Décès ,0.039792
Global,2021,Tout age,Les deux,Toutes causes,Comportementaux ∩ Environnementaux ∩ Métaboliques,Décès ,2700725.8810608746

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2021. Seattle, WA: IHME, University of Washington, 2023. Available from http://vizhub.healthdata.org/gbd-compare. (Accessed 03/11/2024). For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
