Localisation,Année,Âge,Sexe,Cause du décès ou des blessures,Facteur de risque,Mesurer,Valeur,Limite inférieure,Limite supérieure
Global,1990,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",514.7111981251201,486.03514634928,538.59699384514
Global,1991,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",512.03634347501,486.080017284,537.7168774704401
Global,1992,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",510.98577332415005,483.89124919173,536.0793278309501
Global,1993,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",513.43871749455,487.1717399403,538.31347133546
Global,1994,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",513.89030868693,488.72218169606,538.25689925297
Global,1995,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",513.9847815815,487.30450390187997,536.7866422658001
Global,1996,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",507.03443765246,481.53287252352,531.3379929126199
Global,1997,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",500.84574525661003,477.30222328345997,525.58269229882
Global,1998,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",498.1343357232,472.53513691063,522.1983740763201
Global,1999,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",495.88794655528,470.98589553868,518.52236579805
Global,2000,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",494.35426742421,466.86863578321,517.9160916089199
Global,2001,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",492.02993006780997,465.8133094677,514.724344799
Global,2002,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",491.07049637802,466.29704835103,515.29401757161
Global,2003,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",489.95713079016997,463.73400313224,514.61810811805
Global,2004,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",485.5965272356,459.60062061354,509.56110580968993
Global,2005,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",481.19421461714,454.58007955715004,503.21352698759006
Global,2006,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",468.9722282405,441.91653410372004,492.31859204395994
Global,2007,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",463.52807277714,436.97815121053,486.04879685753
Global,2008,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",461.45687467154994,435.36367621594,484.62093574732
Global,2009,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",456.4850018404,431.67802938417003,479.08994802458
Global,2010,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",455.68614829757996,429.60624982458,480.83772829291
Global,2011,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",452.34073614255,425.23413261972,475.67311538868
Global,2012,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",446.13344157928003,419.35572119008003,471.60582878454994
Global,2013,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",444.15797566772005,416.93688400834003,467.56822428746
Global,2014,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",442.31141625076,413.58808957827006,466.9043943834
Global,2015,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",440.20973038089,413.48154843991995,467.32053097731
Global,2016,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",439.06072910752994,408.3758615479,464.70709062166
Global,2017,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",436.65839567886997,407.3374582004,464.72957499653
Global,2018,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",436.00942061745,404.42736825066,464.54556842003
Global,2019,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",436.22808257302,401.20844900833004,465.30280462897
Global,2020,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",431.99164398881,399.54352251778005,462.41246365187
Global,2021,Tout age,Les deux,Toutes causes,Tous les facteurs de risque,"Décès pour 100,000 personnes ",431.94915626542996,396.67300482427,465.04452204108003

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2021. Seattle, WA: IHME, University of Washington, 2023. Available from http://vizhub.healthdata.org/gbd-compare. (Accessed 03/11/2024). For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
